"gender_minority","period","item_label","wtd_mean","n","se","ci_lo","ci_hi"
"Cisgender","Post-Kirk","Express opinions
at work/school",2.42513978216096,7577,0.0166952942301317,2.3924170054699,2.45786255885202
"Cisgender","Post-Kirk","Express political
opinions online",2.13535759907297,7582,0.0163246217880553,2.10336134036838,2.16735385777756
"Cisgender","Post-Kirk","Respond to posts
you disagree with",2.05036079582834,7583,0.0158711928612983,2.0192532578202,2.08146833383649
"Cisgender","Pre-Kirk","Express opinions
at work/school",2.5061229001941,22711,0.00951560598009667,2.48747231247311,2.52477348791509
"Cisgender","Pre-Kirk","Express political
opinions online",2.20384218912866,22718,0.00952684821003957,2.18516956663699,2.22251481162034
"Cisgender","Pre-Kirk","Respond to posts
you disagree with",2.11138951444373,22727,0.00916778815932398,2.09342064965146,2.12935837923601
"Trans / Non-binary","Post-Kirk","Express opinions
at work/school",2.82337666686942,134,0.136368060500536,2.55609526828837,3.09065806545047
"Trans / Non-binary","Post-Kirk","Express political
opinions online",2.72059819665222,134,0.140322307101451,2.44556647473338,2.99562991857107
"Trans / Non-binary","Post-Kirk","Respond to posts
you disagree with",2.67332864212066,134,0.139977882896884,2.39897199164276,2.94768529259855
"Trans / Non-binary","Pre-Kirk","Express opinions
at work/school",2.84917492028409,344,0.0770963006734441,2.69806617096414,3.00028366960404
"Trans / Non-binary","Pre-Kirk","Express political
opinions online",2.80322615639144,344,0.0802322411034592,2.64597096382866,2.96048134895422
"Trans / Non-binary","Pre-Kirk","Respond to posts
you disagree with",2.57152491356667,344,0.0778775684207588,2.41888487946198,2.72416494767135
