"xmin","xmax","x","y","colour","shape","PANEL","group","flipped_aes","order","ymin","ymax","size","linewidth","linetype","fill","alpha","stroke"
1.88129120972543,2.08533122913226,1.98331121942884,0.8125,"#434E7C",16,"1",1,TRUE,1,0.75,0.875,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.80278289058327,2.01027091348933,1.9065269020363,1.8125,"#434E7C",16,"1",5,TRUE,1,1.75,1.875,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.62117112434585,1.80338814381084,1.71227963407834,2.8125,"#434E7C",16,"1",9,TRUE,1,2.75,2.875,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.41117639248987,1.58171935048495,1.49644787148741,0.9375,"#434E7C",17,"1",2,TRUE,2,0.875,1,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.25518631824553,1.42396805784146,1.3395771880435,1.9375,"#434E7C",17,"1",6,TRUE,2,1.875,2,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.24450037380526,1.41825982312334,1.3313800984643,2.9375,"#434E7C",17,"1",10,TRUE,2,2.875,3,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.22365833995492,3.44504298902734,2.33435066449113,1.0625,"#FF8200",16,"1",3,TRUE,3,1,1.125,0.6,0.454545454545455,1,NA,NA,0.909090909090909
2.15796375940271,3.38659909298381,2.77228142619326,2.0625,"#FF8200",16,"1",7,TRUE,3,2,2.125,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.91191018311792,3.15084617134176,2.53137817722984,3.0625,"#FF8200",16,"1",11,TRUE,3,3,3.125,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.83067411692815,2.96985793702454,2.40026602697634,1.1875,"#FF8200",17,"1",4,TRUE,4,1.125,1.25,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.62513651444876,2.92817539264594,2.27665595354735,2.1875,"#FF8200",17,"1",8,TRUE,4,2.125,2.25,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.61118199864715,2.9355955547843,2.27338877671573,3.1875,"#FF8200",17,"1",12,TRUE,4,3.125,3.25,0.6,0.454545454545455,1,NA,NA,0.909090909090909
