"x","y","colour","PANEL","group","shape","fill","size","alpha","stroke"
19905,14,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
19905,14,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
19936,12,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
19936,17,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
19967,12,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
19967,12,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
19997,19,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
19997,23,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20028,14,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20028,12,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20058,15,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20058,18,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20089,13,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20089,16,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20120,12,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20120,11,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20240,12,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20240,16,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20270,6,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20270,14,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20301,13,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20301,8,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20332,16,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20332,17,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20362,12,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20362,15,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20393,11,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20393,20,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20454,11,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20454,27,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
20485,9,"#FF8200","1",1,19,NA,2,NA,0.454545454545455
20485,24,"#434E7C","1",2,19,NA,2,NA,0.454545454545455
