"label","x","y","PANEL","group","nudge_x","nudge_y","colour","family","size","angle","hjust","vjust","alpha","fontface","lineheight"
"33%",32.6892422866173,3,"1",10,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"29%",29.136670408501,4,"1",11,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"37%",37.363011087504,1,"1",8,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"40%",40.0844465711574,2,"1",9,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"38%",38.0451390961623,2,"2",7,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"32%",32.160090815409,1,"2",6,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"66%",65.5999238227846,1,"3",3,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"8%",8.23512258257546,3,"3",5,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"28%",28.2457114262893,2,"3",4,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"33%",33.1123760391637,1,"4",1,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
"35%",35.394848974072,2,"4",2,0,0,"black","poppins",2.5,0,0.5,-1.2,NA,1,1.2
